pwsid,name,state,counties_served,cities_served,population_served,service_connections,owner_type,source_water_type,violations_total_ever,violations_health_based_ever,violations_health_based_last5y,violations_health_based_currently_unaddressed,most_recent_violation_date,most_recent_health_violation_date,contaminants_ever_flagged,last_reported_date
LA1103046,MAGNOLIA-RESOLVE WHISPERWOOD,MO,St. Tammany Parish,DES PERES,6867,2289,P,GW,5,2,0,0,2017-01-10,2006-01-12,Coliform (TCR),06/23/2026
NC0465015,CAROLINA BEACH WATER SYSTEM,NC,New Hanover,CAROLINA BEACH,6864,5460,L,GW,279,5,0,0,2024-03-04,2015-01-11,Coliform (TCR); TTHM,06/26/2026
KY0020386,SCOTTSVILLE WATER DEPARTMENT,KY,Allen,SCOTTSVILLE,6864,2704,L,SW,143,1,0,0,2018-01-07,1997-01-08,Coliform (TCR),06/18/2026
MN1130011,North Branch,MN,Chisago,North Branch,6863,2626,L,GW,2,0,0,0,1998-01-02,,,05/28/2026
TX1260008,CITY OF KEENE,TX,Johnson,KEENE,6863,2428,L,SWP,19,2,0,0,2024-01-07,2018-01-04,Coliform (TCR); Nitrite,06/26/2026
VA2125910,NCSA - WINTERGREEN,VA,Nelson,LOVINGSTON,6861,2417,L,SW,176,1,0,0,2025-01-11,2010-01-12,Surface Water Treatment Rule,05/19/2026
IL0015350,ABS WATER COOP,IL,Adams,CLAYTON,6858,2743,P,GWP,10,5,0,0,2011-06-10,2007-01-05,Coliform (TCR); Lead and Copper Rule,05/27/2026
KY0840587,LAKE VILLAGE WATER ASSOCIATION,KY,Mercer,BURGIN,6855,2644,P,SWP,38,6,0,0,2019-01-06,2016-01-01,Coliform (TCR); Total Haloacetic Acids (HAA5),06/18/2026
KY0210067,CARROLLTON UTILITIES,KY,Carroll,CARROLLTON,6851,2521,L,GW,101,1,0,0,2014-01-07,1995-01-11,Coliform (TCR),06/18/2026
MN1550026,Stewartville,MN,Olmsted,Stewartville,6850,2104,L,GW,4,0,0,0,1992-01-09,,,05/28/2026
MN1200005,Kasson,MN,Dodge,Kasson,6850,2718,L,GW,3,0,0,0,1991-01-05,,,05/28/2026
FL2610203,LIVE OAK WTP,FL,Suwannee,LIVE OAK,6850,3095,L,GU,28,1,0,0,2025-01-07,2009-01-08,Coliform (TCR),05/18/2026
WY5600164,"TORRINGTON MUNICIPAL WATER DEPT, CITY OF",WY,Goshen,TORRINGTON,6847,2763,L,GW,29,22,0,0,2000-01-12,2000-01-12,Coliform (TCR); Nitrate,06/29/2026
AL0001437,NEW LONDON WATER & FP AUTHORITY,AL,St. Clair,CROPWELL,6843,2281,L,GW,1,0,0,0,,,,05/18/2026
CT0580011,JEWETT CITY WATER COMPANY,CT,New London,GRISWOLD; LISBON,6840,1684,P,SW,37,7,0,0,2023-01-07,2018-01-01,Coliform (TCR); Interim Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule; Total Haloacetic Acids (HAA5),06/29/2026
084690510,STANDING ROCK RURAL WATER SYSTEM,ND,,FORT YATES,6839,1389,F,SW,89,18,1,1,2026-01-02,2025-07-10,Long Term 2 Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule; TTHM; Total Haloacetic Acids (HAA5),06/29/2026
TX0080002,CITY OF SEALY,TX,Austin,SEALY,6839,3787,L,GW,7,1,0,0,2026-05-09,2017-02-10,Revised Total Coliform Rule,06/26/2026
VA1640243,"GALAX, CITY OF",VA,,GALAX CITY,6837,2765,L,SW,38,0,0,0,2018-01-10,,,05/19/2026
LA1019118,CALCASIEU PARISH WW DISTRICT 8,LA,Calcasieu Parish,LAKE CHARLES,6834,2278,L,GW,8,4,0,0,2017-01-10,2012-01-09,Coliform (TCR); Groundwater Rule,06/23/2026
MA2299000,TOWNSEND WATER DEPARTMENT,MA,Middlesex,TOWNSEND,6832,2132,L,GW,117,14,0,0,2024-05-09,2010-01-08,Coliform (TCR),06/22/2026
KY0570214,JESSAMINE CO WATER DISTRICT #1,KY,Jessamine,NICHOLASVILLE,6831,2758,L,SWP,49,22,0,0,2020-01-01,2020-01-01,Coliform (TCR); TTHM; Total Haloacetic Acids (HAA5),06/18/2026
MI0006490,SUPERIOR TOWNSHIP,MI,Washtenaw,YPSILANTI,6830,2632,L,SWP,2,1,1,0,2023-01-01,2023-01-01,Lead and Copper Rule,06/23/2026
TX1010022,SUNBELT FWSD OAKWILDE SUBDIVISION,TX,Harris,HOUSTON,6819,2273,L,SWP,10,0,0,0,2025-02-07,,,06/26/2026
TX0790038,FORT BEND COUNTY MUD 2,TX,Fort Bend,HOUSTON,6819,2273,L,SWP,2,0,0,0,1992-01-07,,,06/26/2026
TX2270325,TRAVIS COUNTY MUD 4,TX,Travis,AUSTIN,6816,3249,L,SW,6,0,0,0,2027-05-09,,,06/26/2026
SC3210002,BATESBURG LEESVILLE DPW (SC3210002),SC,Lexington,BATESBURG,6814,3196,L,SWP,23,6,0,0,2025-01-10,2006-01-07,Surface Water Treatment Rule; TTHM; Total Haloacetic Acids (HAA5),06/29/2026
IN5210006,MARYSVILLE OTISCO NABB WATER CORP.,IN,Clark,MARYSVILLE,6813,2725,L,GWP,14,3,0,0,2015-01-10,2003-01-06,Coliform (TCR); Lead and Copper Rule,06/30/2026
AL0001279,JACKSONS GAP WATER AUTHORITY,AL,Tallapoosa,JACKSONS GAP,6813,2271,L,SWP,20,0,0,0,2026-01-01,,,05/18/2026
AR0000074,BERRYVILLE WATERWORKS,AR,Carroll,BERRYVILLE,6813,2833,L,SWP,9,3,1,0,2022-01-06,2022-01-06,Coliform (TCR); Revised Total Coliform Rule,05/12/2026
AZ0410262,QUAIL CREEK WATER COMPANY,AZ,Pima,GREEN VALLEY,6812,3406,P,GW,62,0,0,0,2022-04-10,,,05/14/2026
LA1113031,SOUTHEAST WATERWORKS DISTRICT 2,LA,Vermilion Parish,ABBEVILLE,6810,2270,L,GW,0,0,0,0,,,,06/23/2026
MN1550001,Byron,MN,Olmsted,Byron,6809,2555,L,GW,4,0,0,0,2015-01-01,,,05/28/2026
WI2410584,FOX POINT WATERWORKS,WI,Milwaukee,FOX POINT,6808,2521,L,SWP,4,0,0,0,2005-01-07,,,05/29/2026
OK1010806,ANADARKO PUBLIC WORKS AUTHORITY,OK,Caddo,ANADARKO,6804,2679,L,SW,122,83,21,0,2025-01-04,2025-01-04,"CARBON, TOTAL; Coliform (TCR); Interim Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule; TTHM",05/13/2026
TX0910022,TWO WAY SUD,TX,Grayson,WHITESBORO,6804,2268,L,GW,23,0,0,0,2021-01-01,,,06/26/2026
CA5610014,OJAI WATER SYSTEM,CA,Ventura,OAK VIEW,6801,2921,P,SWP,2,1,0,0,2005-01-09,2005-01-09,Coliform (TCR),06/22/2026
NY3430008,CANANDAIGUA TOWN CONS. WD,NY,Ontario,CANANDAIGUA (T),6800,2853,L,SWP,8,0,0,0,2025-05-10,,,06/25/2026
NY3503561,WARWICK VILLAGE,NY,Orange,WARWICK (V),6800,2764,L,SW,11,5,0,0,2023-01-01,2012-06-05,Coliform (TCR); Interim Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule,06/25/2026
PA5020050,SEWICKLEY BORO WATER AUTH,PA,Allegheny,SEWICKLEY,6800,2183,L,GW,64,2,1,0,2025-03-12,2024-04-11,Groundwater Rule; Revised Total Coliform Rule,06/15/2026
PA1090131,RICHLAND TWP WATER AUTHORITY,PA,Bucks,QUAKERTOWN,6800,2382,L,GW,166,9,0,0,2024-01-11,2011-01-08,Arsenic; Coliform (TCR),06/15/2026
IN5270005,RUSHVILLE CITY UTILITY,IN,Rush,RUSHVILLE,6800,2914,L,GW,25,1,0,0,2025-01-01,2019-01-10,Revised Total Coliform Rule,06/30/2026
FL2040211,CITY OF STARKE,FL,Bradford,STARKE,6800,2589,L,GW,37,7,0,0,2025-01-09,2015-01-11,Coliform (TCR),05/18/2026
IN5220016,NAPPANEE WATER UTILITY,IN,Elkhart,NAPPANEE,6800,2748,L,GW,4,0,0,0,2015-10-11,,,06/30/2026
TX1012297,HARRIS COUNTY MUD 158,TX,Harris,HOUSTON,6798,2266,L,GWP,2,0,0,0,2011-01-07,,,06/26/2026
KY0450410,CITY OF SOUTH SHORE WATER WORKS,KY,Greenup,SOUTH SHORE,6798,2024,P,SWP,109,2,0,0,2014-01-10,2014-01-08,Coliform (TCR); Total Haloacetic Acids (HAA5),06/18/2026
WA5343783,LAKE CHELAN RECLAMATION DISTRICT,WA,Chelan,Manson,6798,2188,L,SW,45,1,0,0,2024-01-08,1992-01-01,Surface Water Treatment Rule,06/19/2026
NM3500326,"EPCOR WATER NEW MEXICO INC., EDGEWOOD",NM,Santa Fe,EDGEWOOD,6795,2000,P,GW,17,1,0,0,2017-01-10,2014-01-09,Coliform (TCR),06/16/2026
AL0000177,HUGULEY WATER AUTHORITY,AL,Chambers,HUGULEY,6795,2265,L,SWP,7,1,0,0,2014-06-01,1998-01-06,Coliform (TCR),05/18/2026
TX0270049,CITY OF GRANITE SHOALS,TX,Burnet,GRANITE SHOALS,6795,2265,L,SW,102,46,5,0,2025-11-08,2023-01-10,Coliform (TCR); Revised Total Coliform Rule; TTHM; Total Haloacetic Acids (HAA5),06/26/2026
FL5260050,CITY OF LABELLE,FL,Hendry,LABELLE,6790,2716,L,GW,28,10,0,0,2025-01-11,2008-01-10,Coliform (TCR); TTHM,05/18/2026
TX1011250,HARRIS COUNTY MUD 150,TX,Harris,HOUSTON,6786,2262,L,SWP,17,13,0,0,2015-06-12,2011-01-07,Arsenic; Coliform (TCR),06/26/2026
MN1470008,Litchfield,MN,Meeker,Litchfield,6786,2670,L,GW,3,0,0,0,2001-01-11,,,05/28/2026
CA5810700,BEALE AIR FORCE BASE,CA,Yuba,BEALE AFB,6785,810,F,GW,12,6,0,0,2024-01-10,2016-01-01,Coliform (TCR),06/22/2026
NM3514327,TRUTH OR CONSEQUENCES,NM,Sierra,TRUTH OR CONSEQUENCES,6783,3261,L,GW,67,18,17,3,2027-06-11,2027-05-09,Coliform (TCR); Groundwater Rule,06/16/2026
CA3110003,FORESTHILL PUBLIC UTILITY DIST,CA,Placer,FORESTHILL,6782,2060,L,SW,1,0,0,0,,,,06/22/2026
IL1635237,"AMERICAN WATER OPER AND MAINTENANCE, LLC",IL,St. Clair,SCOTT AIR FORCE BASE,6779,286,F,SWP,11,3,0,0,2000-01-06,1993-01-08,Coliform (TCR),05/27/2026
NJ1330002,ABERDEEN - CLIFFWOOD/CLIFFWOOD BEACH,NJ,Monmouth,ABERDEEN TWP-1330,6775,2461,L,SWP,67,10,3,0,2026-11-03,2025-01-10,Coliform (TCR); TTHM,06/30/2026
NM3500826,SANTA FE COUNTY SOUTH SECTOR,NM,Santa Fe,SANTA FE,6775,2670,L,SWP,29,1,1,0,2025-05-10,2025-05-10,LEAD AND COPPER RULE REVISIONS,06/16/2026
MN1710006,Zimmerman,MN,Sherburne,Zimmerman,6772,1716,L,GW,11,0,0,0,2000-01-04,,,05/28/2026
TX1830001,CITY OF CARTHAGE,TX,Panola,CARTHAGE,6770,6020,L,SW,110,11,8,0,2027-04-04,2025-05-10,LEAD AND COPPER RULE REVISIONS; Revised Total Coliform Rule; TTHM; Total Haloacetic Acids (HAA5),06/26/2026
MI0000605,BENTON CHARTER TOWNSHIP,MI,Berrien,BENTON HARBOR,6768,2638,L,SW,6,0,0,0,2019-01-06,,,06/23/2026
MS0410012,TOWN OF SALTILLO,MS,Lee,SALTILLO,6766,2601,L,SWP,195,9,0,0,2015-01-06,2015-01-06,Coliform (TCR),05/18/2026
SC0410004,BELTON CITY OF (SC0410004),SC,Anderson,BELTON,6762,2904,L,SWP,23,7,0,0,2025-01-03,2020-01-01,Coliform (TCR); Lead and Copper Rule; TTHM,06/29/2026
LA1121014,CITY OF PORT ALLEN WATER SYSTEM,LA,West Baton Rouge Parish,PORT ALLEN,6759,2368,L,GW,16,8,1,0,2025-05-10,2025-05-10,Coliform (TCR); LEAD AND COPPER RULE REVISIONS,06/23/2026
TX1013040,HARRIS COUNTY MUD 367,TX,Harris,HOUSTON,6759,2253,L,SWP,8,0,0,0,2015-06-12,,,06/26/2026
OH7003512,ONTARIO CITY,OH,Richland,ONTARIO,6756,2769,L,GW,19,0,0,0,2025-02-07,,,05/15/2026
IA2100701,IOWA LAKES REGIONAL WATER,IA,Buena Vista; Clay,SPENCER,6755,2541,P,GW,9,1,0,0,2003-01-12,2003-01-12,Coliform (TCR),06/17/2026
TX1070019,EAST CEDAR CREEK FWSD B A MCKAY,TX,Henderson,MABANK,6753,2251,L,SW,36,19,0,0,2023-07-03,2021-01-02,Interim Enhanced Surface Water Treatment Rule; TTHM; Total Haloacetic Acids (HAA5),06/26/2026
MS0170002,CITY OF HERNANDO-JAYBIRD,MS,DeSoto,HERNANDO,6750,2557,P,GW,100,3,1,0,2025-05-10,2025-05-10,Coliform (TCR); LEAD AND COPPER RULE REVISIONS,05/18/2026
NY1000239,HUDSON CITY,NY,Columbia,HUDSON (C),6750,2200,L,SW,10,5,0,0,2007-01-07,2007-01-07,Lead and Copper Rule; TTHM; Total Haloacetic Acids (HAA5),06/25/2026
MD0060012,CITY OF TANEYTOWN,MD,Carroll,TANEYTOWN,6750,2635,L,GW,26,2,0,0,2010-01-03,2009-01-10,Coliform (TCR),05/18/2026
TX0910064,SOUTH GRAYSON SUD,TX,Grayson,VAN ALSTYNE,6750,2250,L,GW,4,0,0,0,2027-06-12,,,06/26/2026
MT0000016,ANACONDA WATER DEPARTMENT,MT,Deer Lodge,ANACONDA,6750,2866,L,GW,48,7,0,0,2024-04-08,1995-01-10,Coliform (TCR); Surface Water Treatment Rule,06/29/2026
IN5239004,KENT WATER COMPANY,IN,Jefferson,MADISON,6750,2700,L,GW,4,1,0,0,1997-01-01,1993-01-05,Coliform (TCR),06/30/2026
PA5020029,NEVILLE TWP WATER DEPT,PA,Allegheny,PITTSBURGH,6750,629,L,SWP,21,0,0,0,2018-01-12,,,06/15/2026
WV3302928,FRANKFORT PSD,WV,Mineral,FORT ASHBY; SHORT GAP; WILEY FORD,6747,3317,L,SW,956,3,0,0,2024-04-02,2021-01-12,"CARBON, TOTAL; Interim Enhanced Surface Water Treatment Rule; Long Term 2 Enhanced Surface Water Treatment Rule",05/19/2026
KY0720933,LYON COUNTY WATER DISTRICT,KY,Lyon,KUTTAWA,6744,2824,L,SWP,24,10,5,0,2025-01-04,2025-01-04,TTHM; Total Haloacetic Acids (HAA5),06/18/2026
PA5030006,MANOR TWP JT MUNI AUTH,PA,Armstrong,FORD CITY,6744,2759,L,GW,76,3,0,0,2025-11-01,2014-01-05,Coliform (TCR); Groundwater Rule,06/15/2026
VT0005565,JAY PEAK WATER SYSTEM,VT,Orleans,JAY,6740,521,P,GW,63,6,0,0,2021-01-01,2004-01-08,Coliform (TCR),06/30/2026
LA1085059,EBARB WWKS DIST # 1 - AIMWELL AREA,LA,Sabine Parish,ZWOLLE,6738,2246,L,GWP,47,37,10,4,2026-09-02,2026-09-02,Coliform (TCR); Groundwater Rule; TTHM,06/23/2026
TX2500015,BRIGHT STAR-SALEM SUD,TX,Wood,ALBA,6738,2246,L,SW,9,4,0,0,2027-06-12,2015-01-04,TTHM; Total Haloacetic Acids (HAA5),06/26/2026
FL1170168,COTTAGE HILL WATER WORKS,FL,Escambia,CANTONMENT,6737,1429,P,GW,21,3,0,0,2022-01-03,2009-01-05,Coliform (TCR),05/18/2026
PA7360113,EAST COCALICO TOWNSHIP AUTH,PA,Lancaster,DENVER,6735,2582,L,GU,328,1,1,0,2025-01-01,2025-01-01,Trichloroethylene,06/15/2026
CA3310026,NUEVO WATER COMPANY,CA,Riverside,NUEVO,6733,1903,P,SWP,9,6,0,0,2019-01-04,2019-01-04,Nitrate; TTHM,06/22/2026
AR0000037,BENTON COUNTY WATER DISTRICT #1,AR,Benton,AVOCA,6730,2702,L,SWP,6,2,0,0,2016-01-01,2016-01-01,Coliform (TCR); TTHM,05/12/2026
OH1500312,COLUMBIANA CITY PWS,OH,Columbiana,COLUMBIANA,6727,3382,L,GW,5,0,0,0,2024-12-12,,,05/15/2026
IA8230008,ELDRIDGE WATER SUPPLY,IA,Scott,ELDRIDGE,6726,2845,L,GW,7,5,0,0,2023-01-06,2005-01-07,Coliform (TCR); TTHM; Total Haloacetic Acids (HAA5),06/17/2026
TX1011513,HARRIS COUNTY MUD 64,TX,Harris,HOUSTON,6726,2242,L,GW,3,0,0,0,2003-01-02,,,06/26/2026
IL0437350,IL AMERICAN-VALLEY VIEW,IL,DuPage,GODFREY,6721,2585,P,SWP,2,1,0,0,1995-01-06,1995-01-06,Coliform (TCR),05/27/2026
NE3103303,"SIDNEY, CITY OF",NE,Cheyenne,SIDNEY,6720,3088,L,GW,23,21,0,0,2013-01-09,2013-01-09,Coliform (TCR),06/30/2026
TX1010340,FALLBROOK UTILITY DISTRICT,TX,Harris,HOUSTON,6720,2240,L,GW,3,0,0,0,2015-06-12,,,06/26/2026
NC0347010,"RAEFORD, CITY OF",NC,Hoke,RAEFORD,6718,2687,L,GW,40,0,0,0,2006-02-10,,,06/26/2026
CT1530011,WATERTOWN FIRE DISTRICT,CT,Litchfield,WATERTOWN,6718,2132,L,GW,79,1,0,0,2024-10-08,2008-01-09,Coliform (TCR),06/29/2026
TX1011107,MILLS ROAD MUD,TX,Harris,HOUSTON,6717,1778,L,SWP,1,0,0,0,2027-06-12,,,06/26/2026
MA2282000,STERLING WATER DEPARTMENT,MA,Worcester,STERLING,6715,2487,L,GW,110,11,1,0,2026-01-01,2025-05-02,Coliform (TCR); Lead and Copper Rule,06/22/2026
NC0319015,"PITTSBORO, TOWN OF",NC,Chatham,PITTSBORO,6708,2641,L,SW,64,22,1,0,2025-05-10,2025-05-10,"CARBON, TOTAL; Coliform (TCR); LEAD AND COPPER RULE REVISIONS; Surface Water Treatment Rule; TTHM",06/26/2026
TX1010745,NORTH PARK PUD,TX,Harris,HOUSTON,6708,2236,L,GW,40,0,0,0,2021-01-01,,,06/26/2026
OH3700612,"LOGAN, CITY OF",OH,Hocking,LOGAN,6704,3600,L,GW,19,4,0,0,2025-02-07,1993-01-04,Coliform (TCR),05/15/2026
KY0470440,VINE GROVE WATER DEPARTMENT,KY,Hardin,VINE GROVE,6703,2257,L,SWP,17,3,1,1,2027-03-06,2027-03-06,Barium; Coliform (TCR); Revised Total Coliform Rule,06/18/2026
NJ0201001,VEOLIA WATER NJ ALLENDALE WATER SYSTEM,NJ,Bergen,ALLENDALE BORO-0201,6702,2550,L,SWP,271,3,0,0,2020-01-04,2020-01-04,Tetrachloroethylene,06/30/2026
WI6090849,LAKE HALLIE WATERWORKS VILLAGE OF,WI,Chippewa,CHIPPEWA FALLS,6701,753,L,GW,20,6,1,1,2025-05-10,2025-05-10,Coliform (TCR); LEAD AND COPPER RULE REVISIONS,05/29/2026
PA7360078,MANHEIM AREA WATER & SEWER AUT,PA,Lancaster,MANHEIM,6701,2767,L,GU,112,6,0,0,2022-01-10,2016-01-02,Coliform (TCR); Surface Water Treatment Rule; Tetrachloroethylene,06/15/2026
NH1941010,PLYMOUTH VLG WATER AND SEWER,NH,Grafton,PLYMOUTH,6700,1180,L,GW,20,15,0,0,2014-01-08,2014-01-08,Coliform (TCR),06/23/2026
MN1700003,Jordan,MN,Scott,Jordan,6700,1935,L,GW,5,1,0,0,2002-01-06,1987-01-10,Combined Radium (-226 and -228),05/28/2026
NY2902816,BAYVILLE (V),NY,Nassau,BAYVILLE (V),6700,2432,L,GW,31,3,0,0,2025-05-10,2014-01-10,Coliform (TCR),06/25/2026
ID3230012,EMMETT CITY OF,ID,Gem,EMMETT,6700,2700,L,GW,172,1,0,0,2020-01-01,2008-01-07,Coliform (TCR),06/26/2026
PA3540014,KLINE TOWNSHIP MUN AUTHORITY,PA,Schuylkill,MCADOO,6700,2008,P,GW,89,4,0,0,2023-01-07,2019-01-04,Arsenic; Groundwater Rule; Lead and Copper Rule; Surface Water Treatment Rule,06/15/2026
CO0123167,CARBONDALE TOWN OF,CO,Garfield,CARBONDALE,6700,1960,L,SW,31,5,2,0,2025-01-01,2022-01-08,Surface Water Treatment Rule,06/17/2026
MO2024402,MONROE COUNTY PWSD 2,MO,Audrain; Monroe; Montgomery,PARIS,6700,2914,L,SWP,11,1,0,0,2025-01-02,2009-01-08,Coliform (TCR),06/16/2026
OH1301012,MILFORD CITY PWS,OH,Clermont,MILFORD,6700,2075,L,GW,187,1,0,0,2026-05-12,1996-01-07,Coliform (TCR),05/15/2026
MN1100017,Carver,MN,Carver,Carver,6700,2144,L,GW,3,0,0,0,2016-01-10,,,05/28/2026
055294502,PRAIRIE ISLAND,MN,,WELCH,6699,110,N,GW,87,0,0,0,2025-05-10,,,06/30/2026
DE0000246,SEAFORD WATER DEPARTMENT,DE,Sussex,SEAFORD,6699,2375,L,GW,10,7,0,0,2020-12-10,2020-12-10,Combined Radium (-226 and -228); Tetrachloroethylene,04/30/2026
TN0000192,DOUBLE SPRINGS U.D.,TN,Putnam,COOKEVILLE,6698,2826,L,SWP,8,1,0,0,2020-01-07,1992-01-08,Coliform (TCR),05/14/2026
OH8800511,UPPER SANDUSKY CITY,OH,Wyandot,UPPER SANDUSKY,6698,2935,L,SW,32,3,0,0,2022-04-01,2005-01-01,Coliform (TCR); Surface Water Treatment Rule; TTHM,05/15/2026
TX1012068,WEST HARRIS COUNTY MUD 10,TX,Harris,HOUSTON,6697,2230,L,GW,6,1,1,0,2024-01-04,2024-01-04,TTHM,06/26/2026
OK2004701,PURCELL,OK,McClain,PURCELL,6693,4147,L,GW,20,1,0,0,2023-12-08,1991-01-02,Coliform (TCR),05/13/2026
SC0410010,WILLIAMSTON TOWN OF (SC0410010),SC,Anderson,WILLIAMSTON,6693,2582,L,SWP,23,11,0,0,2025-02-07,2000-01-10,Coliform (TCR); Surface Water Treatment Rule; TTHM,06/29/2026
NC0494025,WASHINGTON COUNTY WATER SYSTEM,NC,Washington,ROPER,6693,2635,L,GW,10,4,1,0,2025-05-10,2025-05-10,Coliform (TCR); LEAD AND COPPER RULE REVISIONS,06/26/2026
MS0340019,SOUTHWEST JONES W/A-NORTH,MS,Jones,MOSELLE,6690,2532,M,GW,248,2,0,0,2023-01-01,2013-01-08,Coliform (TCR),05/18/2026
MS0720024,TUNICA COUNTY UTILITY DISTRICT,MS,Tunica,TUNICA,6690,2534,L,GW,327,7,0,0,2022-01-01,2006-01-09,Coliform (TCR); Total Haloacetic Acids (HAA5),05/18/2026
IN5222002,"FLOYDS KNOBS WATER COMPANY, INC.",IN,Floyd,FLOYDS KNOBS,6690,2440,L,GWP,6,0,0,0,2024-01-07,,,06/30/2026
AR0000572,LINCOLN WATERWORKS,AR,Washington,LINCOLN,6690,2676,L,SWP,20,5,0,0,2023-01-11,2016-01-04,Coliform (TCR); Surface Water Treatment Rule; TTHM,05/12/2026
OH7607303,STARK COUNTY WATER DISTRICT,OH,Stark,CANTON,6690,2600,L,GWP,5,0,0,0,2024-01-01,,,05/15/2026
AZ0410006,AVRA WATER COOP INC,AZ,Pima,TUCSON,6685,2674,P,GW,116,7,0,0,2025-01-01,2007-01-10,Arsenic; Coliform (TCR),05/14/2026
TX0030020,FOUR WAY SUD,TX,Angelina,HUNTINGTON,6684,2571,L,GW,4,0,0,0,2015-06-12,,,06/26/2026
NE3102501,"PLATTSMOUTH, CITY OF",NE,Cass,PLATTSMOUTH,6680,2735,L,GW,1,0,0,0,,,,06/30/2026
TX1010897,HARRIS COUNTY MUD 118,TX,Harris,HOUSTON,6678,2226,L,GW,3,0,0,0,2025-02-07,,,06/26/2026
IN5253008,"VAN BUREN WATER, INC.",IN,Monroe,BLOOMINGTON,6670,2515,L,SWP,13,3,0,0,2025-01-07,2021-01-08,Coliform (TCR); Revised Total Coliform Rule; Total Haloacetic Acids (HAA5),06/30/2026
PA5100042,HARMONY BORO WATER AUTH,PA,Butler,HARMONY,6669,661,L,SW,163,15,0,0,2019-01-11,2018-01-07,"CARBON, TOTAL; Coliform (TCR); Surface Water Treatment Rule; TTHM",06/15/2026
FL1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",FL,Escambia,CANTONMENT,6668,1905,P,GW,2,0,0,0,2017-01-07,,,05/18/2026
OH5300012,LEADING CREEK CONSERVANCY DISTRICT,OH,Meigs,RUTLAND,6663,2902,P,GW,18,11,1,0,2025-05-10,2025-05-10,Coliform (TCR); LEAD AND COPPER RULE REVISIONS; Surface Water Treatment Rule,05/15/2026
WV3304140,RALEIGH COUNTY PSD ARNETT,,Raleigh,ARNETT,6663,2964,L,SWP,22,13,11,1,2026-11-03,2025-01-07,Coliform (TCR); Long Term 2 Enhanced Surface Water Treatment Rule; Total Haloacetic Acids (HAA5),05/19/2026
TX0790430,GRAND MISSION MUD 1,TX,Fort Bend,HOUSTON,6663,7477,L,SWP,3,0,0,0,2004-01-05,,,06/26/2026
IL1430200,CHILLICOTHE,IL,Peoria,CHILLICOTHE,6660,2960,L,GW,37,6,0,0,2025-02-07,2005-01-10,Coliform (TCR),05/27/2026
MS0200001,COMBINED UTILITIES,MS,George,LUCEDALE,6658,2522,M,GW,215,2,0,0,2024-01-01,2006-01-11,Coliform (TCR),05/18/2026
LA1047007,EAST IBERVILLE WATER SYSTEM,LA,Iberville Parish,PLAQUEMINE,6657,2219,L,GWP,6,0,0,0,2011-01-07,,,06/23/2026
LA1105019,CITY OF PONTCHATOULA WATER SYSTEM,LA,Tangipahoa Parish,PONCHATOULA,6657,2219,L,GW,11,5,0,0,2024-01-07,2009-01-10,Coliform (TCR),06/23/2026
OH0501214,NELSONVILLE PWS,OH,Athens,NELSONVILLE,6656,2207,L,GW,148,23,9,0,2026-01-01,2025-01-10,Coliform (TCR); Surface Water Treatment Rule; TTHM,05/15/2026
IL1675350,CURRAN-GARDNER TOWNSHIP PWD,IL,Sangamon,SPRINGFIELD,6651,2651,L,GW,2,1,0,0,2008-01-06,2008-01-06,Coliform (TCR),05/27/2026
TX1013350,HARRIS COUNTY MUD 433,TX,Harris,HOUSTON,6651,4059,L,SWP,1,0,0,0,2015-05-09,,,06/26/2026
NJ0809002,NJ AMERICAN WATER - LOGAN,NJ,Gloucester,LOGAN TWP.-0809; WOOLWICH TWP.-0824,6650,1962,P,SWP,35,0,0,0,2016-01-07,,,06/30/2026
OH3600614,HILLSBORO CITY,OH,Highland,HILLSBORO,6650,3359,L,SW,19,6,0,0,2025-02-07,2007-01-10,Surface Water Treatment Rule,05/15/2026
IL1350400,LITCHFIELD,IL,Montgomery,LITCHFIELD,6648,3246,L,SW,54,5,3,0,2027-02-12,2025-01-12,Coliform (TCR); Interim Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule,05/27/2026
OK3005736,OSAGE CO RWD #15,OK,Osage,SKIATOOK,6647,3106,L,SWP,21,17,0,0,2016-01-01,2016-01-01,Coliform (TCR); TTHM,05/13/2026
IL0050020,BOND/MADISON WATER COMPANY,IL,Bond,POCAHONTAS,6645,2658,P,SWP,6,0,0,0,2024-01-10,,,05/27/2026
ME0090870,LISBON WATER DEPARTMENT,ME,Androscoggin,LISBON,6643,2657,L,GW,15,3,0,0,2027-03-03,2006-01-04,Arsenic; Coliform (TCR),05/13/2026
CA3610025,JOSHUA BASIN WATER DISTRICT,CA,San Bernardino,JOSHUA TREE,6640,4884,L,GW,4,3,0,0,2003-01-09,2003-01-09,Coliform (TCR),06/22/2026
WA5323100,ELMA CITY OF,WA,Grays Harbor,ELMA,6638,2074,L,GW,28,0,0,0,2024-01-07,,,06/19/2026
CO0125843,WINTER PARK WSD,CO,Grand,WINTER PARK,6635,352,L,SW,36,2,0,0,2009-01-01,2003-01-04,Surface Water Treatment Rule,06/17/2026
